,Unnamed: 0,RTA_CODE,STATE,RTA_LOC_NAME,LOC_LONG_DESC,PV,TW,A1,A2,A3,A4,C1_a,C1_b,C2,C3,C4,FMV,ADDON1,ADDON2,ADDON3,ADDON4,ADDON5,ADDON6,ADDON7,ADDON8,ADDON9,MARKET_VALUE,C5,A5,A6
20,20,AP19,ANDHRA PRADESH,GUDIVADA,GUDIVADA,B,B,C,C,C,C,B,C,C,C,B,C,,,,,,,,,,,C,C,C
21,21,AP20,ANDHRA PRADESH,Khammam,KHAMMAM,B,B,C,C,C,C,B,C,C,C,B,C,,,,,,,,,,,C,C,C
22,22,AP21,ANDHRA PRADESH,Kurnool,KURNOOL,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
23,23,AP22,ANDHRA PRADESH,Mahaboobnagar,MAHABOOBNAGAR,B,B,C,C,C,C,B,C,C,C,B,C,,,,,,,,,,,C,C,C
24,24,AP23,ANDHRA PRADESH,Sangareddy,SANGAREDDY,B,B,C,C,C,C,B,C,C,C,B,C,,,,,,,,,,,C,C,C
25,25,AP24,ANDHRA PRADESH,Nalgonda,NALGONDA,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
26,26,AP25,ANDHRA PRADESH,Nizamabad,NIZAMABAD,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
27,27,AP26,ANDHRA PRADESH,Nellore,NELLORE,B,B,C,C,C,C,B,C,C,C,B,C,,,,,,,,,,,C,C,C
28,28,AP27,ANDHRA PRADESH,PRAKASAM,PRAKASAM,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
29,29,AP28,ANDHRA PRADESH,Rangareddy,RANGAREDDY,B,B,C,C,C,C,B,C,C,C,B,C,,,,,,,,,,,C,C,C
30,30,AP29,ANDHRA PRADESH,Rangareddy,RANGAREDDY,B,B,C,C,C,C,B,C,C,C,B,C,,,,,,,,,,,C,C,C
31,31,AP30,ANDHRA PRADESH,Srikakulam,SRIKAKULAM,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
32,32,AP31,ANDHRA PRADESH,Visakhapatanam,VISAKHAPATANAM,B,B,C,C,C,C,B,C,C,C,B,C,,,,,,,,,,,C,C,C
33,33,AP32,ANDHRA PRADESH,Visakhapatanam,VISAKHAPATANAM,B,B,C,C,C,C,B,C,C,C,B,C,,,,,,,,,,,C,C,C
34,34,AP33,ANDHRA PRADESH,Gajuwaka,VISAKAPATNAM,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
35,35,AP34,ANDHRA PRADESH,VISAKHAPATNAM,VISAKHAPATNAM,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
36,36,AP35,ANDHRA PRADESH,Vizianagaram,VIZIANAGARAM,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
37,37,AP36,ANDHRA PRADESH,Warangal,WARANGAL,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
38,38,AP37,ANDHRA PRADESH,WEST GODAVARI,WEST GODAVARI,B,B,C,C,C,C,B,C,C,C,B,C,,,,,,,,,,,C,C,C
39,39,AP38,ANDHRA PRADESH,Eluru,ELURU,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
40,40,AR01,ARUNACHAL PRADESH,Itanagar,ITANAGAR,B,B,B,B,B,B,B,B,B,B,B,B,,,,,,,,,,,B,B,B
41,41,AR02,ARUNACHAL PRADESH,Itanagar,ITANAGAR(COMME VEHI OF STA TR),B,B,B,B,B,B,B,B,B,B,B,B,,,,,,,,,,,B,B,B
42,42,AR03,ARUNACHAL PRADESH,Tawang,TAWANG,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
43,43,AR04,ARUNACHAL PRADESH,Bomdila,BOMDILA,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
44,44,AR05,ARUNACHAL PRADESH,Seppa,SEPPA,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
45,45,AR06,ARUNACHAL PRADESH,Ziro,ZIRO,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
46,46,AR07,ARUNACHAL PRADESH,Daporiji,DAPORIJI,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
47,47,AR08,ARUNACHAL PRADESH,Along,ALONG,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
48,48,AR09,ARUNACHAL PRADESH,Pasighat,PASIGHAT,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
49,49,AR10,ARUNACHAL PRADESH,Anini,ANINI,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
50,50,AR11,ARUNACHAL PRADESH,Tezu,TEZU,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
51,51,AR12,ARUNACHAL PRADESH,Changalang,CHANGALANG,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
52,52,AR13,ARUNACHAL PRADESH,Khonsa,KHONSA,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
53,53,AR14,ARUNACHAL PRADESH,Yingkiong,YINGKIONG,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
54,54,AR15,ARUNACHAL PRADESH,KURUNG KUMEY,KURUNG KUMEY,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
55,55,AR16,ARUNACHAL PRADESH,ROING,ROING,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
56,56,AR17,ARUNACHAL PRADESH,ANJAW,ANJAW,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
57,57,AS01,ASSAM,Guwahati,A/B GUWAHATI WEST,B,B,C,B,B,B,B,B,B,B,B,B,,,,,,,,,,,B,B,B
58,58,AS02,ASSAM,Nagaon,NAGAON,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
59,59,AS03,ASSAM,Jorhat,JORHAT,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
60,60,AS04,ASSAM,Sibsagar,SIBSAGAR,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
61,61,AS05,ASSAM,Golaghat,GOLAGHAT,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
62,62,AS06,ASSAM,Dibrugarh,DIBRUGARH,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
63,63,AS07,ASSAM,LAKHIMPUR,B,B,B,C,C,C,C,B,C,C,C,B,C,,,,,,,,,,,C,C,C
64,64,AS08,ASSAM,North Cachar Hills,NORTH CACHAR HILLS,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
65,65,AS09,ASSAM,Karbi Anglong,KARBI ANGLONG,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
66,66,AS10,ASSAM,Karimganj,KARIMGANJ,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
67,67,AS11,ASSAM,Cachar,CACHAR,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
68,68,AS12,ASSAM,Sonitpur,SONITPUR,B,B,C,B,B,B,B,B,B,B,B,B,,,,,,,,,,,B,B,B
69,69,AS13,ASSAM,Darrang,DARRANG,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
70,70,AS14,ASSAM,Nalbari,NALBARI,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
71,71,AS15,ASSAM,Barpeta,BARPETA,B,B,C,C,C,C,B,C,C,C,B,C,,,,,,,,,,,C,C,C
72,72,AS16,ASSAM,Kokrajhar,KOKRAJHAR,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
73,73,AS17,ASSAM,Dhubri,DHUBRI,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
74,74,AS18,ASSAM,Goalpara,GOALPARA,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
75,75,AS19,ASSAM,Bongaigaon,BONGAIGAON,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
76,76,AS21,ASSAM,Marigaon,MARIGAON,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
77,77,AS22,ASSAM,Dhemaji,DHEMAJI,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
78,78,AS23,ASSAM,Tinsukia,TINSUKIA,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
79,79,AS24,ASSAM,Hailakandi,HAILAKANDI,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
80,80,AS25,ASSAM,Kamrup,KAMRUP,B,B,C,B,B,B,B,B,B,B,B,B,,,,,,,,,,,B,B,B
81,81,AS26,ASSAM,CHIRANG ASSAM,CHIRANG ASSAM,B,B,C,C,C,C,B,C,C,C,B,C,,,,,,,,,,,C,C,C
82,82,AS27,ASSAM,UDALGURI ASSAM,UDALGURI ASSAM,B,B,C,C,C,C,B,C,C,C,B,C,,,,,,,,,,,C,C,C
83,83,AS28,ASSAM,BASKA ASSAM,BASKA ASSAM,B,B,C,C,C,C,B,C,C,C,B,C,,,,,,,,,,,C,C,C
84,84,BR01,BIHAR,Patna,PATNA,B,B,B,B,B,B,B,B,B,B,B,B,,,,,,,,,,,B,B,B
85,85,BR02,BIHAR,Gaya,GAYA,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
86,86,BR03,BIHAR,Bhojpur,BHOJPUR,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
87,87,BR04,BIHAR,Chapra,CHAPRA,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
88,88,BR05,BIHAR,Mothihari,MOTHIHARI,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
89,89,BR06,BIHAR,Muzaffarpur,MUZAFFARPUR,B,B,C,C,C,C,B,C,C,C,B,C,,,,,,,,,,,C,C,C
90,90,BR07,BIHAR,Darbhanga,DARBHANGA,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
91,91,BR08,BIHAR,Monghyr,MONGHYR,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
92,92,BR09,BIHAR,Begusaria,BEGUSARIA,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
93,93,BR10,BIHAR,Bhagalpur,BHAGALPUR,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
94,94,BR11,BIHAR,Purnea,PURNEA,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
95,95,BR12,BIHAR,Dumka,DUMKA,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
96,96,BR13,JHARKHAND,Hazaribagh,HAZARIBAGH,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
97,97,BR14,JHARKHAND,Ranchi,RANCHI,B,B,B,B,B,B,B,B,B,B,B,B,,,,,,,,,,,B,B,B
98,98,BR15,BIHAR,Palamu,PALAMU,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
99,99,BR16,BIHAR,JAMSHEDPUR,JAMSHEDPUR,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
100,100,BR17,BIHAR,Dhanbad,DHANBAD,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
101,101,BR18,BIHAR,Chaibasa,CHAIBASA,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
102,102,BR19,BIHAR,Saharsa,SAHARSA,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
103,103,BR20,BIHAR,Bojaro,BOJARO,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
104,104,BR21,BIHAR,Nalanda,NALANDA,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
105,105,BR22,BIHAR,Bettiah,BETTIAH,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
106,106,BR23,JHARKHAND,Giridih,GIRIDIH,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
107,107,BR24,BIHAR,Dehri,DEHRI,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
108,108,BR25,BIHAR,Jahanabad,JAHANABAD,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
109,109,BR26,BIHAR,Aurangabad,AURANGABAD,B,B,C,C,C,C,B,C,C,C,B,C,,,,,,,,,,,C,C,C
110,110,BR27,BIHAR,Nawada,NAWADA,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
111,111,BR28,BIHAR,Gopalganj,GOPALGANJ,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
112,112,BR29,BIHAR,Siwan,SIWAN,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
113,113,BR30,BIHAR,Sitamarthi,SITAMARTHI,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
114,114,BR31,BIHAR,Hajipur,HAJIPUR,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
115,115,BR32,BIHAR,Madhubani,MADHUBANI,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
116,116,BR33,BIHAR,Samastipur,SAMASTIPUR,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
117,117,BR34,BIHAR,Khagaria,KHAGARIA,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
118,118,BR35,BIHAR,Sahebganj,SAHEBGANJ,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
119,119,BR36,JHARKHAND,Godda,GODDA,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
120,120,BR37,BIHAR,Kishanganj,KISHANGANJ,B,B,C,C,C,C,B,B,C,C,B,C,,,,,,,,,,,B,C,C
